Seccion,Titulo,Imagen,Fuente 1,Fuente 2,Fuente 3,Fuente 4,Fuente 5,fuente 6,fuente 7,Fuente 8
geopolitica,Iran war live: US launches new attacks on ‘multiple targets in Iran’,https://images.axios.com/gtWblcQXGkZVU28ec435zEz6q-U=/0x0:4000x2250/1920x1080/2026/06/10/1781121950670.jpeg?w=1920,https://www.bbc.com/news/articles/c4gyp9v0e93o,https://www.aljazeera.com/news/liveblog/2026/6/10/iran-war-live-tehran-vows-response-as-us-strikes-over-downed-helicopter,https://www.axios.com/2026/06/10/trump-iran-strike-situation-room-meeting,https://www.foxnews.com/video/6398103385112,https://www.scmp.com/news/world/middle-east/article/3356630/thousands-iranians-left-without-water-searing-heat-after-us-hits-reservoirs,https://www.cbsnews.com/live-updates/iran-war-trump-us-strikes-apache/,,
geopolitica,Israeli strikes in southern Lebanon have allegedly used white phosphorus,https://img.turkiyetoday.com/images/2026/6/6/visual-evidence-strengthens-allegations-of-israeli-white-phosphorus-use-in-lebanon-3221440_202606062318_20260606231801_1.jpg,https://www.npr.org/2026/06/06/nx-s1-5848668/israel-lebanon-white-phosphorus,https://www.reuters.com/world/middle-east/israeli-military-issues-evacuation-order-lebanons-tyre-including-christian-2026-06-09/,https://www.aljazeera.com/news/2026/6/10/israel-kills-16-in-lebanon-un-to-probe-international-law-violations,https://www.bbc.com/news/articles/cpq3d44l907o,https://www.nbcnews.com/world/iran/trump-iran-deal-israel-lebanon-strikes-tyre-christians-rcna349149,,,
geopolitica,Ukrainian drones target St Petersburg in attack Russia calls 'unprecedented',https://s.france24.com/media/display/7c0573b6-5f48-11f1-a4a9-005056a90284/w:720/p:16x9/2026-06-03T090021Z-1627125782-RC27MLAX7XSB-RTRMADP-3-UKRAINE-CRISIS-ST-PETERSBURG-ATTACK.jpg,https://www.bbc.com/news/articles/cg7498kz808o,https://www.dw.com/en/ukraine-hits-st-petersburg-again-after-putin-rejects-talks/a-77445845,https://www.bbc.com/news/articles/cpqpqx5qe40o,https://www.reuters.com/world/europe/ukrainian-drones-strike-oil-terminal-st-petersburg-putins-davos-gets-under-way-2026-06-03/,,,,
nacional,Argentina firma un acuerdo comercial que la uniría al Reino Unido por primera vez desde 1982,https://www.gob.mx/cms/uploads/article/main_image/60234/blog_13mzo-CPTPP.jpg,https://www.perfil.com/noticias/politica/argentina-y-un-acuerdo-de-comercio-con-reino-unido.phtml,https://www.clarin.com/politica/primera-vez-guerra-malvinas-argentina-integra-acuerdo-comercial-socio-reino-unido_0_Y8QuqQamvN.html,https://es.mercopress.com/2026/06/07/argentina-busca-un-acuerdo-comercial-que-la-uniria-al-reino-unido-por-primera-vez-desde-1982,,,,,
nacional,Hoy se publica el dato de la inflación de mayo: que anticipan las principales consultoras,https://www.bbva.es/content/dam/public-web/bbvaes/images/finanzas-vistazo/ef/finanzas-personales/2400x1600/2400x1600-inflacion-subyacente.jpg,https://www.cronista.com/economia-politica/se-publica-la-inflacion-de-mayo-el-numero-que-anticipan-las-principales-consultoras-y-que-espera-el-gobierno/,https://www.infobae.com/economia/2026/06/08/la-inflacion-en-la-ciudad-de-buenos-aires-fue-del-21-en-mayo-y-acumula-un-alza-de-331-en-los-ultimos-doce-meses/,,,,,,
nacional,Acuerdo entre el gobierno y universitarios,https://www.infobae.com/resizer/v2/EYDIFAPBCVHKLBEA3MCG4MZJA4.jpg?auth=e52e4dc6478866b79c607368412be82e22d8fefdaa88c59f4850761d8258a70d&smart=true&width=992&height=660&quality=85,https://www.infobae.com/politica/2026/06/10/el-gobierno-y-las-universidades-sellaron-un-acuerdo-salarial-y-presupuestario-pero-continua-la-demanda-en-la-corte/,https://tn.com.ar/politica/2026/06/10/el-gobierno-y-las-universidades-se-reunen-para-cerrar-el-acuerdo-por-el-financiamiento-y-una-suba-salarial/,https://www.lanacion.com.ar/sociedad/tras-casi-tres-anos-de-conflicto-el-gobierno-y-los-rectores-firmaron-un-acuerdo-por-el-nid10062026/,https://www.perfil.com/noticias/politica/las-universidades-y-el-gobierno-ante-un-acuerdo-que-no-frena-la-demanda-en-la-corte-suprema-de-justicia-phtml,https://www.pagina12.com.ar/2026/06/09/el-gobierno-va-a-firmar-un-acuerdo-con-las-universidades-pero-el-reclamo-sigue-en-la-corte-suprema-de-cuanto-sera-el-aumento/,,,
ciencia,Nasa announces Artemis III crew,https://www.nasa.gov/wp-content/uploads/2026/06/jsc2026e392659.jpg,"https://www.nasa.gov/image-article/artemis-iii-crew-announced/#:~:text=NASA%20astronaut%20Andre%20Douglas%2C%20ESA,as%20the%20Artemis%20III%20crew.",https://www.skyatnightmagazine.com/news/nasa-artemis-iii-crew,https://www.nasa.gov/news-release/nasa-marches-toward-artemis-iii-mission-in-2027-names-crew-members/,https://www.nbcnews.com/science/space/nasa-artemis-iii-mission-astronauts-all-male-responds-criticism-rcna349462,https://www.aljazeera.com/news/2026/6/9/nasa-announces-astronauts-for-artemis-iii-spaceflight-scheduled-for-2027,,,
ciencia,Anthropic urges AI labs to pause development,https://s.yimg.com/os/en/reuters.ca/d0cf5a7c5e00851ffcc220e780d19850,https://www.reuters.com/business/anthropic-says-ai-labs-need-coordinated-plan-halt-development-if-risks-rise-2026-06-04/,https://www.aljazeera.com/economy/2026/6/5/anthropic-urges-ai-labs-to-pause-warns-humans-risk-losing-control,https://www.theguardian.com/technology/2026/jun/05/anthropic-urges-temporary-pause-on-ai-development-to-discuss-risks,,,,,
ciencia,"Anthropic releases Claude Fable, days after issuing AI development warning",https://ichef.bbci.co.uk/news/1024/cpsprodpb/3a65/live/82edf440-642b-11f1-a08b-a904eba6340c.jpg.webp,https://www.anthropic.com/news/claude-fable-5-mythos-5,https://www.bbc.com/news/articles/ckg701v1dp6o,https://techcrunch.com/2026/06/09/anthropics-claude-fable-5-is-a-version-of-mythos-the-public-can-access-today/,,,,,
sustentabilidad,A Strange 'Cold Blob' in The Atlantic Signals We're Almost at a Tipping Point,https://cdn.mos.cms.futurecdn.net/PAhEBqQ879tgxxyiF3H5dQ-965-80.jpg,https://www.livescience.com/planet-earth/rivers-oceans/mysterious-cold-blob-in-the-atlantic-is-a-sign-of-the-gulf-stream-weakening-and-thats-bad-news-for-the-us-east-coast,https://www.newscientist.com/article/2529078-mysterious-cold-blob-in-the-atlantic-suggests-the-amoc-is-weakening/,https://www.newsweek.com/the-atlantics-cold-blob-could-change-weather-across-america-12045642,https://www.sciencealert.com/a-strange-cold-blob-in-the-atlantic-signals-were-almost-at-a-tipping-point,,,,
